книга,категория,техника,оценка_качества
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но разве это означает, что нельзя заработать еще больше?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Мы пользуемся тем, что иногда доставляет нам массу неприятностей, верно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Но есть ли хотя бы один профессиональный игрок в гольф, который не пользовался бы своей клюшкой, чтобы послать мячик в кучу песка?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Сколько людей вы знаете (в любом возрасте, не говоря уже о двадцатилетних), которые зарабатывают достаточно денег, чтобы приобрести крупную профессиональную спортивную команду?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Что общего имеют эти четверо, помимо того, что все они являются выпускниками курса обучения Чемпионов Продажи?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Восьмое Девятое Почему вы хорошо себя чувствуете, лишь когда ваши дела идут хорошо?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы находитесь в обществе Чемпиона, то не можете определить, как хорошо обстояли дела у этого человека час, день, неделю или даже месяц назад?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Сейчас вы, наверное, подумали: ""Если все так просто, то почему все торговые агенты не применяют этот метод?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,ПУТЬ ПОКУПКИ Покупатель Продавец Почему это происходит?,7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вложите ли вы время и усилия, необходимые для того, чтобы сделать их вашими?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Глава № 3 Спрашивайте правильно, продавайте успешно Согласны ли вы, что при работе с новым клиентом следует получить от него несколько положительных ответов, прежде чем переходить к главному ""ДА"", означающему, что покупка состоялась?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если сказанное вами является истиной в том смысле, как ее понимает потенциальный покупатель, то он ответит согласием, не так ли?",7
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"А когда он согласится с тем, что какое-то качество вашего товара или услуги соответствует его потребностям, то приблизится к покупке, правильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Его мозг работает как компьютер, верно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,Вам хотелось бы когда-нибудь отойти от дел и наслаждаться благами цивилизации ______?,6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"В самом начале разговора я спрашиваю:   - Вы хотели иметь копировальный аппарат, который не просто делает копии, как все остальные, не так ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Видите, как я перехитрил самого себя?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"в обратной форме звучит так: ""Не правда ли, что в наши дни многие прогрессивные компании пользуются компьютерами?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"В стандартной форме связка находится в конце предложения: ""Когда вы почувствуете эту машину, то сможете отлично управлять ею, не правда ли?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"В обратной форме связка находится в начале предложения: ""Не правда ли, вы сможете отлично управлять этой машиной, как только почувствуете ее?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Во внутренней форме связка находится в центре предложения: ""Вы сможете отлично управлять этой машиной, не правда ли, как только почувствуете ее?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"присоединим фразу в начале и получим сложное предложение с внутренней связкой:   ""Когда вы привыкнете к ним, разве они не покажутся вам забавными?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Не правда ли, что стимулы и возможности для продажи возникают быстро и варьируют в широких пределах?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Если вы задаете вопрос, на который можно ответить ""да"" или ""нет"", то какой ответ обычно выбирает ваш собеседник?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Поэтому профессионал никогда не спрашивает: ""Могу ли я зайти к вам сегодня днем?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"О, это понадобится нам к первому числу"",- он уже думает, что будет делать с вашим товаром, правильно?",6
Hopkins_Iskusstvo_torgovat,выявление_потребностей,"Вы можете прямо спросить; ""Какой размер задатка вас устраивает?",6
