text,stage,установление_контакта,выявление_потребностей,презентация,работа_с_возражениями,закрытие,method,pressure,result,property_type,objection,manager_style,client_mood,details,technique,client_type,params,outcome
"Менеджер: Здравствуйте! Мы обсудили все детали вашей будущей квартиры, и я уверен, что это именно то место, где вам будет комфортно. Как вы на счет того, чтобы оформить сделку сегодня?

Клиент: Привет! Спасибо за информацию. Мне всё очень понравилось, но нужно немного времени подумать.

Менеджер: Понимаю вас полностью. Но обратите внимание — такие предложения по цене в 6 миллионов рублей с метражом 70 квадратов быстро находят своих покупателей. Не хотите потерять возможность?

Клиент: Да, цена действительно хорошая. Просто есть несколько моментов — например, хочу еще посмотреть другие варианты.

Менеджер: Это вполне разумно! Однако сейчас у нас действует акция на эту квартиру — скидка 5% при оформлении сделки до конца недели. Вы бы не хотели воспользоваться этим предложением?

Клиент: Интересное предложение… Но мне нужно убедиться в том, что эта квартира подходит для нашей семьи.

Менеджер: Конечно! Ваше решение важно для меня как менеджера недвижимости. Если у вас будут дополнительные вопросы или сомнения про эту квартиру или других вариантах – я всегда здесь!

Клиент: Спасибо большое! Я подумаю и сообщу вам позже о своем решении.
",Закрытие сделки,3,2,2,3,5,прямое предложение,мягкое подталкивание,мягкий отказ,,,,,,,,,
"Менеджер: Привет! Рад вас видеть на показе нашего таунхауса. Он очень интересный и уникальный, с высокими потолками 3 метра. Это создает ощущение простора и свободы.

Клиент: Здравствуйте! Да, но мне кажется, что такие высокие потолки могут быть холодными и неудобными в уходе за ними.

Менеджер: Понимаю ваше беспокойство! Но именно благодаря этим высоким потолкам здесь отличная акустика и возможность установить красивые светильники или даже декоративные балки для создания уюта.

Клиент: Может быть... Но все же я привык к более стандартным высотам. Не слишком ли это пустое пространство?

Менеджер: На самом деле, вы можете использовать это пространство по-разному – например, сделать стеллажи до потолка или даже второй уровень для хранения вещей. Это добавит функциональности!

Клиент: Интересно… А как насчет отопления? Площадь большая — не будет ли зимой сильно холодно?

Менеджер: Отличный вопрос! В этом доме установлено современное газовое отопление с регулируемыми радиаторами в каждой комнате. Вы сможете поддерживать комфортную температуру независимо от сезона.

Клиент: Ну ладно, звучит неплохо... Давайте посмотрим дальше!

Менеджер: Конечно! Следующий этаж – спальни тоже впечатляют своей площадью и возможностью обустройства под ваши предпочтения.",Презентация объекта,2,3,5,3,2,сторителлинг,,,таунхаус,слишком высокие потолки,,,,,,,
"Менеджер: Добрый день! Рад вас видеть на показе этой замечательной 1-к квартиры площадью 40 квадратных метров. Давайте начнем с того, что я покажу вам преимущества этого жилья.

Клиент: Привет! Спасибо. Но смотрю, потолки тут довольно высокие... Не кажется ли вам это излишним?

Менеджер: Понимаю ваше беспокойство. Высокие потолки — это не только стильный элемент интерьера, но и визуально увеличивают пространство. К тому же, они обеспечивают хорошую вентиляцию!

Клиент: Да, возможно... Но мне как-то привычнее жить в квартирах с более низкими потолками.

Менеджер: Это нормально! Однако обратите внимание на то, что такие высоты открывают возможность для интересного дизайна – вы можете установить многоуровневые светильники или даже антресоли для хранения вещей.

Клиент: Антресоли звучит интересно… но все равно переживаю по поводу отопления зимой при такой высоте.

Менеджер: За счет системы теплоснабжения здесь установлены современные радиаторы и кондиционеры инверторного типа - тепло будет равномерно распределяться по всему помещению независимо от высоты стен!

Клиент: Хорошо бы убедиться в этом на практике… А сколько стоит эта квартира?

Менеджер: Эта 1-комнатная квартира предлагается за 4 миллиона рублей. При этом есть возможность рассрочки платежа до года без дополнительных процентов!

Клиент: Рассрочка — это заманчиво... Возможно вернусь к этому вопросу позже после показа других объектов?",Презентация объекта,2,3,5,3,2,демонстрация преимуществ,,,1-к квартира,слишком высокие потолки,,,,,,,
"Менеджер: Добрый день! Меня зовут Анна, я менеджер по продажам недвижимости. Как ваше настроение?  
Клиент: Да нормально, а что вам нужно?  
Менеджер: Я вижу, вы интересовались вторичной недвижимостью в центре города. У нас есть несколько отличных предложений. Вы можете уделить мне пару минут?  
Клиент: Если честно, не знаю... уже много раз смотрел и ничего интересного не нашёл.  
Менеджер: Понимаю вас полностью! Но у нас сейчас есть квартиры в самом центре с ценами от 6 до 9 миллионов рублей за площади от 50 до 80 квадратов. Что скажете на это?    
Клиент: Не знаю даже… Цены все равно высокие для меня...   
Менеджер: Это правда, но как показывает практика, такие варианты чаще всего растут в цене со временем. Могу показать один из объектов на следующей неделе — будет удобно встретиться во вторник или среду?    
Клиент: Хм… ну ладно, возможно во вторник подойдёт…",Установление контакта,5,2,1,3,1,,,,,,профессиональный,равнодушный,вторичка в центре,,,,
"Менеджер: Добрый день! Меня зовут Алексей, я менеджер по недвижимости. Как ваши дела?

Клиент: Здравствуйте... Как дела? Просто не очень хочу сейчас общаться.

Менеджер: Понимаю вас, постараюсь быть кратким. Я хотел бы предложить вам варианты покупки вторички в центре города. У нас есть интересные предложения от 7 до 10 миллионов рублей с площадью от 50 до 80 квадратов.

Клиент: Вторичка меня вообще не интересует, у меня свои планы…

Менеджер: Я вас услышал и ценю ваше время. Могу ли я узнать, что именно вы ищете? Возможно, мы сможем подобрать вариант под ваши требования?

Клиент: В принципе мне нужно новое жильё или хотя бы квартира в хорошем состоянии!

Менеджер: Отлично! Мы также работаем с новостройками и можем рассмотреть предложения по квартирам на этапе строительства с возможностью инвестирования уже сейчас. Когда было бы удобно встретиться для подробной консультации?

Клиент: Слушайте, я даже не уверен… Может быть позже...

Менеджер: Конечно! Просто дайте знать мне удобное время — возможно следующий понедельник или среда будут подходящими? Это поможет нам определить правильный путь к вашей новой квартире.

Клиент (раздраженно): Ладно-ладно… Если так важно - давайте во вторник после обеда.",Установление контакта,5,2,1,3,1,,,,,,профессиональный,раздраженный,вторичка в центре,,,,
"Менеджер: Доброе утро! Как приятно видеть вас в нашем офисе. Расскажите, пожалуйста, что именно вас интересует в поиске новой квартиры?

Клиент: Доброе утро! Мы ищем квартиру для нашей молодой семьи. Хочется 2 комнаты и желательно поближе к парку.

Менеджер: Отлично, это очень хороший выбор. В каком районе вы хотели бы жить? И есть ли у вас предпочтения по метражу?

Клиент: Нам нужна квартира примерно от 60 до 75 квадратных метров. Что касается района – хотелось бы рассмотреть варианты рядом с центром.

Менеджер: Поняла вас! У нас как раз есть несколько вариантов около центра города. Какие сроки покупки вы рассматриваете? 

Клиент: Лучше всего уложиться в три месяца, чтобы успеть переехать до начала учебного года.

Менеджер: Это реально осуществимо! Я могу предложить вам посмотреть два-три варианта на следующей неделе. Вам подойдет вторник или четверг?

Клиент: Четверг будет лучше всего!

Менеджер: Замечательно! Тогда я подготовлю предложения и пришлю вам информацию заранее для ознакомления. Есть ли еще какие-то пожелания или требования к квартире?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,молодая семья,сроки 3 месяца,
"Менеджер: Здравствуйте! Напоминаю, что наша акция на квартиры в ЖК ""Солнечный"" завершится в эту пятницу. У вас есть уникальная возможность получить скидку 150 тысяч рублей!

Клиент: Добрый день! Спасибо за информацию, но я все еще не уверен по поводу покупки.

Менеджер: Понимаю, решение непростое. Однако стоит учесть, что таких цен уже не будет после окончания акции. Квартиры от 3 миллионов – прекрасное предложение для вашего бюджета.

Клиент: Да, цена хорошая, но мне нужно больше времени на раздумья и консультации с супругой.

Менеджер: Я понимаю вашу ситуацию. Но эта скидка действительно ограничена во времени – только до конца недели. Возможно вам стоит рассмотреть вариант предварительного бронирования?

Клиент: Но если я забронирую сейчас и потом передумаю? Не хочется торопиться с решением.

Менеджер: Мы можем сделать условие о возврате задатка при отказе до истечения срока сделки — это даст вам дополнительную уверенность!

Клиент: Это звучит неплохо… Но пока все равно считаем это слишком рискованным шагом для нас сейчас.",Закрытие сделки,3,2,2,3,5,искусственное ограничение,акция до конца недели,мягкий отказ,,,,,,,,,
"Менеджер: Здравствуйте! Рад вас видеть. Как прошел ваш день? 

Клиент: Привет, спасибо! Все хорошо, немного устали после работы.

Менеджер: Понимаю. Давайте поговорим о вашей недвижимости. Какие у вас основные требования к новому жилью?

Клиент: Нам нужно 3 комнаты и желательно в районе с хорошими школами для детей.

Менеджер: Отлично, а как вы оцениваете важность расположения относительно работы или других мест посещения? 

Клиент: Это очень важно для нас, мы оба работаем в центре города и не хотим тратить много времени на дорогу.

Менеджер: Ясно. Теперь скажите мне про бюджет — рассматривали ли вы диапазон от 6 до 8 миллионов рублей?

Клиент: Да, это наш ориентир на данный момент.

Менеджер: Хорошо. У меня есть несколько объектов в этом бюджете с разным метражом — например, квартира площадью около 80 квадратных метров за 7 миллионов рублей недалеко от парка и школы.

Клиент: Звучит интересно! В каком районе она находится?

Менеджер: Она расположена в Зеленограде… Ой нет-нет-нет! Это была другая квартира... Извините за путаницу — речь идет об apartment рядом с метро Таганская!

Клиент: Ничего страшного 😄 А сколько времени займет процесс покупки квартиры?

Менеджер : Обычно оформление занимает около месяца-полутора – если все документы будут готовы заранее. На какую дату планируете переезд?",Выявление потребностей,3,5,2,2,1,,,,,,,,,СПИН-вопросы,молодая семья,бюджет 6-8 млн,
"Менеджер: Здравствуйте! Спасибо, что обратились. Как могу помочь вам с выбором недвижимости?  
Клиент: Добрый день! Я смотрел ваши предложения, но район меня совсем не устраивает. Он кажется слишком опасным.  
Менеджер: Понимаю ваше беспокойство по поводу района. Могу узнать, какие именно моменты вас настораживают?  
Клиент: Ну, там много криминальных новостей и плохая репутация среди жителей. Не хочу рисковать своей семьей в таком месте.  
Менеджер: Это важный аспект при выборе жилья, согласен! Могу предложить статистику по преступности в этом районе – она намного лучше на самом деле, чем может показаться из слухов.   
Клиент: Статистика статистикой, но все равно мне неприятно это слышать... За такие деньги можно найти что-то получше где-то еще.

Менеджер: Да вы правы — за эти деньги (примерно 7 миллионов рублей) есть альтернативные варианты в других районах с лучшей репутацией… Возможно ли рассмотреть вариант чуть дальше от центра?   
Клиент: Можно посмотреть другие районы только если цена будет ниже этой или хотя бы такой же как сейчас у вас указано.

Менеджер: Понял вас! Если я найду вам подходящий объект даже за 6 миллионов в хорошем районе – это устроит?    
Клиент: Да-да! Но тогда и скидку нужно предусмотреть на тот дом который мы обсуждали - почему бы нет?

Менеджер : Хорошо звучит для начала переговоров о цене дома; Давайте обсудим вашу ситуацию более подробно и постараюсь сделать максимально выгодное предложение.
",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,LAER метод,,,просит скидку
"Менеджер: Здравствуйте! Спасибо за встречу. Как вы себя чувствуете по поводу квартиры на Мосфильмовской, 3? Она стоит 9 миллионов рублей и площадью 85 м².

Клиент: Привет! Да, она мне нравится, но всё же я хочу подумать. Возможно немного дороговато для меня.

Менеджер: Понимаю вас. Эта квартира действительно стоит своих денег. Но обратите внимание, что интерес к ней довольно высокий — у нас уже есть несколько запросов на просмотр в ближайшие дни.

Клиент: Это нормально для рынка сейчас… Но все-таки я хотел бы рассмотреть другие варианты подешевле.

Менеджер: Конечно! Есть еще одна квартира в этом районе за 8 миллионов с меньшей площадью — всего 70 м². Однако такие предложения быстро исчезают из-за спроса…

Клиент: Да знаю... Но мне нужно время чтобы решиться именно на эту квартиру.

Менеджер: Я понимаю ваше желание принять осознанное решение. Тем не менее, если не будет действий до конца недели, скорее всего эта квартира уйдет к другому покупателю...

Клиент: Честно говоря пока не готов принимать такое решение спонтанно... Давайте может быть поговорим позже?

Менеджер: Хорошо! Просто имейте в виду сроки – вдруг появится кто-то другой заинтересованный сразу после нашего разговора…",Закрытие сделки,3,2,2,3,5,искусственное ограничение,мягкое подталкивание,мягкий отказ,,,,,,,,,
